"Refid","Author","Title","User","Level","algorithm_domain1","assessor_domain1","algorithm_domain2a","algorithm_domain2b","algorithm_domain2c","assessor_domain2","algorithm_domain3","assessor_domain3","algorithm_domain4","assessor_domain4","algorithm_domain5","assessor_domain5","algorithm_overall","assessor_overall"
4914,"Li, Z., Yao, S., Cheng, M., Chen, J.","Evaluation of the Effect of Dexmedetomidine on Postoperative Cognitive Dysfunction through Aβ and Cytokines Analysis",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
4914,"Li, Z., Yao, S., Cheng, M., Chen, J.","Evaluation of the Effect of Dexmedetomidine on Postoperative Cognitive Dysfunction through Aβ and Cytokines Analysis",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5024,"Li, Y., He, R., Chen, S., Qu, Y.","Effect of dexmedetomidine on early postoperative cognitive dysfunction and peri-operative inflammation in elderly patients undergoing laparoscopic cholecystectomy",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5024,"Li, Y., He, R., Chen, S., Qu, Y.","Effect of dexmedetomidine on early postoperative cognitive dysfunction and peri-operative inflammation in elderly patients undergoing laparoscopic cholecystectomy",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5147,"Zhang, W., Wang, T., Wang, G., Yang, M., Zhou, Y., Yuan, Y.","Effects of Dexmedetomidine on Postoperative Delirium and Expression of IL-1β, IL-6, and TNF-α in Elderly Patients After Hip Fracture Operation",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5147,"Zhang, W., Wang, T., Wang, G., Yang, M., Zhou, Y., Yuan, Y.","Effects of Dexmedetomidine on Postoperative Delirium and Expression of IL-1β, IL-6, and TNF-α in Elderly Patients After Hip Fracture Operation",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5164,"Sultan, S. S.","Assessment of role of perioperative melatonin in prevention and treatment of postoperative delirium after hip arthroplasty under spinal anesthesia in the elderly",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5164,"Sultan, S. S.","Assessment of role of perioperative melatonin in prevention and treatment of postoperative delirium after hip arthroplasty under spinal anesthesia in the elderly",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5189,"Siripoonyothai, S., Sindhvananda, W.","Comparison of postoperative delirium within 24 hours between ketamine and propofol infusion during cardiopulmonary bypass machine: A randomized controlled trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
5189,"Siripoonyothai, S., Sindhvananda, W.","Comparison of postoperative delirium within 24 hours between ketamine and propofol infusion during cardiopulmonary bypass machine: A randomized controlled trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
5240,"Hong, H., Zhang, D. Z., Li, M., Wang, G., Zhu, S. N., Zhang, Y., Wang, D. X., Sessler, D. I.","Impact of dexmedetomidine supplemented analgesia on delirium in patients recovering from orthopedic surgery: A randomized controlled trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5240,"Hong, H., Zhang, D. Z., Li, M., Wang, G., Zhu, S. N., Zhang, Y., Wang, D. X., Sessler, D. I.","Impact of dexmedetomidine supplemented analgesia on delirium in patients recovering from orthopedic surgery: A randomized controlled trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5251,"Chawdhary, A. A., Kulkarni, A., Nozari, A.","Substitution of propofol for dexmedetomidine in the anaesthetic regimen does not ameliorate the post-operative cognitive decline in elderly patients",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5251,"Chawdhary, A. A., Kulkarni, A., Nozari, A.","Substitution of propofol for dexmedetomidine in the anaesthetic regimen does not ameliorate the post-operative cognitive decline in elderly patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5269,"Gao, Y., Yu, H., Wang, W., Wang, Y., Teng, J., Li, F.","Effect of Dexmedetomidine on The Neuroglobin Expression in Elderly Patients With Minimally Invasive Coronary Artery Bypass Graft Surgery",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
5269,"Gao, Y., Yu, H., Wang, W., Wang, Y., Teng, J., Li, F.","Effect of Dexmedetomidine on The Neuroglobin Expression in Elderly Patients With Minimally Invasive Coronary Artery Bypass Graft Surgery",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
5365,"Spence, J., Belley-Côté, E., Jacobsohn, E., Lee, S. F., Whitlock, R., Bangdiwala, S., Syed, S., Sarkaria, A., MacIsaac, S., Lengyel, A., Long, S., Um, K., McIntyre, W. F., Kavosh, M., Fast, I., Arora, R., Lamy, A., Connolly, S., Devereaux, P. J.","Restricted versus liberal intraoperative benzodiazepine use in cardiac anaesthesia for reducing delirium (B-Free Pilot): a pilot, multicentre, randomised, cluster crossover trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5365,"Spence, J., Belley-Côté, E., Jacobsohn, E., Lee, S. F., Whitlock, R., Bangdiwala, S., Syed, S., Sarkaria, A., MacIsaac, S., Lengyel, A., Long, S., Um, K., McIntyre, W. F., Kavosh, M., Fast, I., Arora, R., Lamy, A., Connolly, S., Devereaux, P. J.","Restricted versus liberal intraoperative benzodiazepine use in cardiac anaesthesia for reducing delirium (B-Free Pilot): a pilot, multicentre, randomised, cluster crossover trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5436,"Chen, J., Yan, J., Han, X.","Dexmedetomidine may benefit cognitive function after laparoscopic cholecystectomy in elderly patients",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5436,"Chen, J., Yan, J., Han, X.","Dexmedetomidine may benefit cognitive function after laparoscopic cholecystectomy in elderly patients",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5452,"Guo, Y., Sun, L., Zhang, J., Li, Q., Jiang, H., Jiang, W.","Preventive effects of low-dose dexmedetomidine on postoperative cognitive function and recovery quality in elderly oral cancer patients",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
5452,"Guo, Y., Sun, L., Zhang, J., Li, Q., Jiang, H., Jiang, W.","Preventive effects of low-dose dexmedetomidine on postoperative cognitive function and recovery quality in elderly oral cancer patients",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
5480,"Zhang, Z., Li, W., Jia, H.","Postoperative Effects of Dexmedetomidine on Serum Inflammatory Factors and Cognitive Malfunctioning in Patients with General Anesthesia",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
5480,"Zhang, Z., Li, W., Jia, H.","Postoperative Effects of Dexmedetomidine on Serum Inflammatory Factors and Cognitive Malfunctioning in Patients with General Anesthesia",Stephanie_Ramirez,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
5765,"Zhu, Y., Yao, R., Li, Y., Wu, C., Heng, L., Zhou, M., Yan, L., Deng, Y., Zhang, Z., Ping, L., Wu, Y., Wang, S., Wang, L.","Protective Effect of Celecoxib on Early Postoperative Cognitive Dysfunction in Geriatric Patients",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5765,"Zhu, Y., Yao, R., Li, Y., Wu, C., Heng, L., Zhou, M., Yan, L., Deng, Y., Zhang, Z., Ping, L., Wu, Y., Wang, S., Wang, L.","Protective Effect of Celecoxib on Early Postoperative Cognitive Dysfunction in Geriatric Patients",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5809,"Zhou, Z. J., Tang, J., Li, W. H., Tao, W. D.","Preoperative intravenous flurbiprofen reduces postoperative pain and inflammatory cytokines in elderly patients after hip arthroplasty",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
5809,"Zhou, Z. J., Tang, J., Li, W. H., Tao, W. D.","Preoperative intravenous flurbiprofen reduces postoperative pain and inflammatory cytokines in elderly patients after hip arthroplasty",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
5894,"Mandal, S., Basu, M., Kirtania, J., Sarbapalli, D., Pal, R., Kar, S., Kundu, K. K., Sarkar, U., Gupta, S. D.","Impact of general versus epidural anesthesia on early post-operative cognitive dysfunction following hip and knee surgery",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5894,"Mandal, S., Basu, M., Kirtania, J., Sarbapalli, D., Pal, R., Kar, S., Kundu, K. K., Sarkar, U., Gupta, S. D.","Impact of general versus epidural anesthesia on early post-operative cognitive dysfunction following hip and knee surgery",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5915,"Jellish, W. S., Sheikh, T., Baker, W. H., Louie, E. K., Slogoff, S.","Hemodynamic stability, myocardial ischemia, and perioperative outcome after carotid surgery with remifentanil/propofol or isoflurane/fentanyl anesthesia",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
5915,"Jellish, W. S., Sheikh, T., Baker, W. H., Louie, E. K., Slogoff, S.","Hemodynamic stability, myocardial ischemia, and perioperative outcome after carotid surgery with remifentanil/propofol or isoflurane/fentanyl anesthesia",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
6072,"Meuret, P., Bouvet, L., Villet, B., Hafez, M., Allaouchiche, B., Boselli, E.","Hypobaric Unilateral Spinal Anaesthesia versus General Anaesthesia in Elderly Patients Undergoing Hip Fracture Surgical Repair: A Prospective Randomised Open Trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
6072,"Meuret, P., Bouvet, L., Villet, B., Hafez, M., Allaouchiche, B., Boselli, E.","Hypobaric Unilateral Spinal Anaesthesia versus General Anaesthesia in Elderly Patients Undergoing Hip Fracture Surgical Repair: A Prospective Randomised Open Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
6109,"Shin, S., Kim, S. H., Park, K. K., Kim, S. J., Bae, J. C., Choi, Y. S.","Effects of Anesthesia Techniques on Outcomes after Hip Fracture Surgery in Elderly Patients: A Prospective, Randomized, Controlled Trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns","Some concerns","Some concerns","Some concerns","Some concerns"
6109,"Shin, S., Kim, S. H., Park, K. K., Kim, S. J., Bae, J. C., Choi, Y. S.","Effects of Anesthesia Techniques on Outcomes after Hip Fracture Surgery in Elderly Patients: A Prospective, Randomized, Controlled Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns","Some concerns","Some concerns","Some concerns","Some concerns"
6132,"Wang, Y., Zhang, J., Zhang, S.","Influence of different anesthetic and analgesic methods on early cognitive function of elderly patients receiving non-cardiac surgery",Madhulika_Agarkar,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
6132,"Wang, Y., Zhang, J., Zhang, S.","Influence of different anesthetic and analgesic methods on early cognitive function of elderly patients receiving non-cardiac surgery",Lexi_Dyer,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
6506,"Dai, Z., Lin, M., Li, Y., Gao, W., Wang, P., Lin, J., Wan, Z., Jiang, Y.","Sevoflurane-Remifentanil Versus Propofol-Remifentanil Anesthesia During Noncardiac Surgery for Patients with Coronary Artery Disease - A Prospective Study Between 2016 and 2017 at a Single Center",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns",High,"Some concerns","Some concerns","Some concerns",High
6506,"Dai, Z., Lin, M., Li, Y., Gao, W., Wang, P., Lin, J., Wan, Z., Jiang, Y.","Sevoflurane-Remifentanil Versus Propofol-Remifentanil Anesthesia During Noncardiac Surgery for Patients with Coronary Artery Disease - A Prospective Study Between 2016 and 2017 at a Single Center",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns",High,"Some concerns","Some concerns","Some concerns",High
6540,"Bielka, K., Kuchyn, I., Tokar, I., Artemenko, V., Kashchii, U.","Psoas compartment block efficacy and safety for perioperative analgesia in the elderly with proximal femur fractures: a randomized controlled study",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
6540,"Bielka, K., Kuchyn, I., Tokar, I., Artemenko, V., Kashchii, U.","Psoas compartment block efficacy and safety for perioperative analgesia in the elderly with proximal femur fractures: a randomized controlled study",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7098,"Larsen, K. A., Kelly, S. E., Stern, T. A., Bode, R. H., Jr., Price, L. L., Hunter, D. J., Gulczynski, D., Bierbaum, B. E., Sweeney, G. A., Hoikala, K. A., Cotter, J. J., Potter, A. W.","Administration of olanzapine to prevent postoperative delirium in elderly joint-replacement patients: a randomized, controlled trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
7098,"Larsen, K. A., Kelly, S. E., Stern, T. A., Bode, R. H., Jr., Price, L. L., Hunter, D. J., Gulczynski, D., Bierbaum, B. E., Sweeney, G. A., Hoikala, K. A., Cotter, J. J., Potter, A. W.","Administration of olanzapine to prevent postoperative delirium in elderly joint-replacement patients: a randomized, controlled trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,High,High,Low,Low,Low,Low,High,High
7151,"Wang, F., Xie, D., Xu, H., Ye, Q., Wu, L., Gao, X. P.","The effects of remifentanil-propofol combined with dexmedetomidine on cognitive dysfunction in elderly patients after ureteroscopic holmium laser lithotripsy: a double-blind randomized controlled trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7151,"Wang, F., Xie, D., Xu, H., Ye, Q., Wu, L., Gao, X. P.","The effects of remifentanil-propofol combined with dexmedetomidine on cognitive dysfunction in elderly patients after ureteroscopic holmium laser lithotripsy: a double-blind randomized controlled trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7240,"Chitnis, S., Mullane, D., Brohan, J., Noronha, A., Paje, H., Grey, R., Bhalla, R. K., Sidhu, J., Klein, R.","Dexmedetomidine Use in Intensive Care Unit Sedation and Postoperative Recovery in Elderly Patients Post-Cardiac Surgery (DIRECT)",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7240,"Chitnis, S., Mullane, D., Brohan, J., Noronha, A., Paje, H., Grey, R., Bhalla, R. K., Sidhu, J., Klein, R.","Dexmedetomidine Use in Intensive Care Unit Sedation and Postoperative Recovery in Elderly Patients Post-Cardiac Surgery (DIRECT)",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7309,"Fukata, S., Kawabata, Y., Fujishiro, K., Kitagawa, Y., Kuroiwa, K., Akiyama, H., Takemura, M., Ando, M., Hattori, H.","Haloperidol prophylaxis for preventing aggravation of postoperative delirium in elderly patients: a randomized, open-label prospective trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7309,"Fukata, S., Kawabata, Y., Fujishiro, K., Kitagawa, Y., Kuroiwa, K., Akiyama, H., Takemura, M., Ando, M., Hattori, H.","Haloperidol prophylaxis for preventing aggravation of postoperative delirium in elderly patients: a randomized, open-label prospective trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7490,"Li, T., Li, J., Yuan, L., Wu, J., Jiang, C., Daniels, J., Mehta, R. L., Wang, M., Yeung, J., Jackson, T., Melody, T., Jin, S., Yao, Y., Wu, J., Chen, J., Smith, F. G., Lian, Q., Investigators, Raga Study","Effect of Regional vs General Anesthesia on Incidence of Postoperative Delirium in Older Patients Undergoing Hip Fracture Surgery: The RAGA Randomized Trial",Lexi_Dyer,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7490,"Li, T., Li, J., Yuan, L., Wu, J., Jiang, C., Daniels, J., Mehta, R. L., Wang, M., Yeung, J., Jackson, T., Melody, T., Jin, S., Yao, Y., Wu, J., Chen, J., Smith, F. G., Lian, Q., Investigators, Raga Study","Effect of Regional vs General Anesthesia on Incidence of Postoperative Delirium in Older Patients Undergoing Hip Fracture Surgery: The RAGA Randomized Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7554,"Brown, C. H., Edwards, C., Lin, C., Jones, E. L., Yanek, L. R., Esmaili, M., Gorashi, Y., Skelton, R., Kaganov, D., Curto, R., Lessing, N. L., Cha, S., Colantuoni, E., Neufeld, K., Sieber, F., Dean, C. L., Hogue, C. W.","Spinal Anesthesia with Targeted Sedation based on Bispectral Index Values Compared with General Anesthesia with Masked Bispectral Index Values to Reduce Delirium: The SHARP Randomized Controlled Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7554,"Brown, C. H., Edwards, C., Lin, C., Jones, E. L., Yanek, L. R., Esmaili, M., Gorashi, Y., Skelton, R., Kaganov, D., Curto, R., Lessing, N. L., Cha, S., Colantuoni, E., Neufeld, K., Sieber, F., Dean, C. L., Hogue, C. W.","Spinal Anesthesia with Targeted Sedation based on Bispectral Index Values Compared with General Anesthesia with Masked Bispectral Index Values to Reduce Delirium: The SHARP Randomized Controlled Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7686,"Xiang, X. B., Chen, H., Wu, Y. L., Wang, K., Yue, X., Cheng, X. Q.","The Effect of Preoperative Methylprednisolone on Postoperative Delirium in Older Patients Undergoing Gastrointestinal Surgery: A Randomized, Double-Blind, Placebo-Controlled Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
7686,"Xiang, X. B., Chen, H., Wu, Y. L., Wang, K., Yue, X., Cheng, X. Q.","The Effect of Preoperative Methylprednisolone on Postoperative Delirium in Older Patients Undergoing Gastrointestinal Surgery: A Randomized, Double-Blind, Placebo-Controlled Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
8117,"Neuman, M. D., Feng, R., Carson, J. L., Gaskins, L. J., Dillane, D., Sessler, D. I., Sieber, F., Magaziner, J., Marcantonio, E. R., Mehta, S., Menio, D., Ayad, S., Stone, T., Papp, S., Schwenk, E. S., Elkassabany, N., Marshall, M., Jaffe, J. D., Luke, C., Sharma, B., Azim, S., Hymes, R. A., Chin, K. J., Sheppard, R., Perlman, B., Sappenfield, J., Hauck, E., Hoeft, M. A., Giska, M., Ranganath, Y., Tedore, T., Choi, S., Li, J., Kwofie, M. K., Nader, A., Sanders, R. D., Allen, B. F. S., Vlassakov, K., Kates, S., Fleisher, L. A., Dattilo, J., Tierney, A., Stephens-Shields, A. J., Ellenberg, S. S., Investigators, Regain","Spinal Anesthesia or General Anesthesia for Hip Surgery in Older Adults",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
8117,"Neuman, M. D., Feng, R., Carson, J. L., Gaskins, L. J., Dillane, D., Sessler, D. I., Sieber, F., Magaziner, J., Marcantonio, E. R., Mehta, S., Menio, D., Ayad, S., Stone, T., Papp, S., Schwenk, E. S., Elkassabany, N., Marshall, M., Jaffe, J. D., Luke, C., Sharma, B., Azim, S., Hymes, R. A., Chin, K. J., Sheppard, R., Perlman, B., Sappenfield, J., Hauck, E., Hoeft, M. A., Giska, M., Ranganath, Y., Tedore, T., Choi, S., Li, J., Kwofie, M. K., Nader, A., Sanders, R. D., Allen, B. F. S., Vlassakov, K., Kates, S., Fleisher, L. A., Dattilo, J., Tierney, A., Stephens-Shields, A. J., Ellenberg, S. S., Investigators, Regain","Spinal Anesthesia or General Anesthesia for Hip Surgery in Older Adults",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
8558,"Lu, Y., Fang, P. P., Yu, Y. Q., Cheng, X. Q., Feng, X. M., Wong, G. T. C., Maze, M., Liu, X. S., Collaborators, Pogf Study","Effect of Intraoperative Dexmedetomidine on Recovery of Gastrointestinal Function After Abdominal Surgery in Older Adults: A Randomized Clinical Trial",Madhulika_Agarkar,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
8558,"Lu, Y., Fang, P. P., Yu, Y. Q., Cheng, X. Q., Feng, X. M., Wong, G. T. C., Maze, M., Liu, X. S., Collaborators, Pogf Study","Effect of Intraoperative Dexmedetomidine on Recovery of Gastrointestinal Function After Abdominal Surgery in Older Adults: A Randomized Clinical Trial",Stephanie_Ramirez,4,Low,Low,Low,High,High,High,Low,Low,Low,Low,Low,Low,High,High
8574,"Kalisvaart, K. J., de Jonghe, J. F., Bogaards, M. J., Vreeswijk, R., Egberts, T. C., Burger, B. J., Eikelenboom, P., van Gool, W. A.","Haloperidol prophylaxis for elderly hip-surgery patients at risk for delirium: a randomized placebo-controlled study",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
8574,"Kalisvaart, K. J., de Jonghe, J. F., Bogaards, M. J., Vreeswijk, R., Egberts, T. C., Burger, B. J., Eikelenboom, P., van Gool, W. A.","Haloperidol prophylaxis for elderly hip-surgery patients at risk for delirium: a randomized placebo-controlled study",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
8864,"Fukata, S., Kawabata, Y., Fujisiro, K., Katagawa, Y., Kuroiwa, K., Akiyama, H., Terabe, Y., Ando, M., Kawamura, T., Hattori, H.","Haloperidol prophylaxis does not prevent postoperative delirium in elderly patients: a randomized, open-label prospective trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
8864,"Fukata, S., Kawabata, Y., Fujisiro, K., Katagawa, Y., Kuroiwa, K., Akiyama, H., Terabe, Y., Ando, M., Kawamura, T., Hattori, H.","Haloperidol prophylaxis does not prevent postoperative delirium in elderly patients: a randomized, open-label prospective trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9011,"Ding, D. F., Wang, P., Jiang, Y. X., Zhang, X. P., Shi, W., Luo, Y. W.","Effects of Apolipoprotein Epsilon epsilon4 allele on early postoperative cognitive dysfunction after anesthesia",Anne_Marbella,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
9011,"Ding, D. F., Wang, P., Jiang, Y. X., Zhang, X. P., Shi, W., Luo, Y. W.","Effects of Apolipoprotein Epsilon epsilon4 allele on early postoperative cognitive dysfunction after anesthesia",Stephanie_Ramirez,4,"Some concerns","Some concerns",Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,"Some concerns","Some concerns"
9157,"Tan, Y., Ouyang, W., Tang, Y., Fang, N., Fang, C., Quan, C.","Effect of remimazolam tosilate on early cognitive function in elderly patients undergoing upper gastrointestinal endoscopy",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9157,"Tan, Y., Ouyang, W., Tang, Y., Fang, N., Fang, C., Quan, C.","Effect of remimazolam tosilate on early cognitive function in elderly patients undergoing upper gastrointestinal endoscopy",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9196,"Wang, W., Li, H. L., Wang, D. X., Zhu, X., Li, S. L., Yao, G. Q., Chen, K. S., Gu, X. E., Zhu, S. N.","Haloperidol prophylaxis decreases delirium incidence in elderly patients after noncardiac surgery: a randomized controlled trial*",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9196,"Wang, W., Li, H. L., Wang, D. X., Zhu, X., Li, S. L., Yao, G. Q., Chen, K. S., Gu, X. E., Zhu, S. N.","Haloperidol prophylaxis decreases delirium incidence in elderly patients after noncardiac surgery: a randomized controlled trial*",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9256,"Javaherforoosh Zadeh, F., Janatmakan, F., Shafaeebejestan, E., Jorairahmadi, S.","Effect of Melatonin on Delirium After on-Pump Coronary Artery Bypass Graft Surgery: A Randomized Clinical Trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9256,"Javaherforoosh Zadeh, F., Janatmakan, F., Shafaeebejestan, E., Jorairahmadi, S.","Effect of Melatonin on Delirium After on-Pump Coronary Artery Bypass Graft Surgery: A Randomized Clinical Trial",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9620,"Aizawa, K., Kanai, T., Saikawa, Y., Takabayashi, T., Kawano, Y., Miyazawa, N., Yamamoto, T.","A novel approach to the prevention of postoperative delirium in the elderly after gastrointestinal surgery",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9620,"Aizawa, K., Kanai, T., Saikawa, Y., Takabayashi, T., Kawano, Y., Miyazawa, N., Yamamoto, T.","A novel approach to the prevention of postoperative delirium in the elderly after gastrointestinal surgery",Stephanie_Ramirez,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9741,"Shi, Y.","Effects of Melatonin on Postoperative Delirium After PCI in Elderly Patients: A Randomized, Single-Center, Double-Blind, Placebo-Controlled Trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
9741,"Shi, Y.","Effects of Melatonin on Postoperative Delirium After PCI in Elderly Patients: A Randomized, Single-Center, Double-Blind, Placebo-Controlled Trial",Anne_Marbella,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
10036,"Sauer, A. M., Slooter, A. J., Veldhuijzen, D. S., van Eijk, M. M., Devlin, J. W., van Dijk, D.","Intraoperative dexamethasone and delirium after cardiac surgery: a randomized clinical trial",Madhulika_Agarkar,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low
