refid,design_f_lab,study,study_l,study_l_w_linked,study_id,arm_id,drug,drug_f,drug_recode,drug_recode_abbr,drug_study,arm_n,arm_proph_meds,none,proph_history,proph_med_pre,proph_med_induct,proph_med_intra,proph_med_postop,proph_med_unspec,dexmed,dexmed_loading,dexmed_maintain,dexmed_maintain_low,dexmed_maintain_up,dexmed_postdose,ketamine,ketamine_dose,ketamine_dose_iv,ket_postdose,melatonin,melatonin_dose,melatonin_days,ramelteon,ramelteon_dose,ramelteon_numberdoses,gabapentin,gabapentin_dose,gabapentin_numberdoses,ulinastatin,ulinastatin_dose,ulinastatin_numberdoses,notes,multiple_kq,drug_kq5,control_desc_kq5,other_spec,interv_desc,control_desc
13075,Randomized Clinical Trial,Xing 2021,[Xing 2021](evidence_tables.html#13075),[Xing 2021](evidence_tables.html#13075),Xing 2021-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,55,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9% saline injection via an infusion pump for 15 min.
13075,Randomized Clinical Trial,Xing 2021,[Xing 2021](evidence_tables.html#13075),[Xing 2021](evidence_tables.html#13075),Xing 2021-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,55,kq6_proph_meds,,,,proph_med_induct,,,,dexmedetomidine,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
13116,Nonrandomized Trial,Zhou 2021,[Zhou 2021](evidence_tables.html#13116),[Zhou 2021](evidence_tables.html#13116),Zhou 2021-1,1,,,,,Dexmedetomidine,116,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13116,Nonrandomized Trial,Zhou 2021,[Zhou 2021](evidence_tables.html#13116),[Zhou 2021](evidence_tables.html#13116),Zhou 2021-2,2,,,,,Dexmedetomidine,149,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13133,Before-After/Time Series,Romano 2021,[Romano 2021](evidence_tables.html#13133),[Romano 2021](evidence_tables.html#13133),Romano 2021-1,1,,,,,Dexmedetomidine,59,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13133,Before-After/Time Series,Romano 2021,[Romano 2021](evidence_tables.html#13133),[Romano 2021](evidence_tables.html#13133),Romano 2021-2,2,,,,,Dexmedetomidine,122,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13141,Randomized Clinical Trial,Ren 2021,[Ren 2021](evidence_tables.html#13141),[Ren 2021](evidence_tables.html#13141),Ren 2021-1,1,,,,,Dexmedetomidine,154,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13141,Randomized Clinical Trial,Ren 2021,[Ren 2021](evidence_tables.html#13141),[Ren 2021](evidence_tables.html#13141),Ren 2021-2,2,,,,,Dexmedetomidine,127,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13184,Randomized Clinical Trial,Tu 2021,[Tu 2021](evidence_tables.html#13184),[Tu 2021](evidence_tables.html#13184),Tu 2021-1,1,Other,Control,Sufentanil,Suf,Ketamine,40,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sufentanil,,Anesthetic induction of propofol plus sufentanil
13184,Randomized Clinical Trial,Tu 2021,[Tu 2021](evidence_tables.html#13184),[Tu 2021](evidence_tables.html#13184),Tu 2021-2,2,Ketamine,Ketamine,Ketamine,Ket,Ketamine,40,kq6_proph_meds,,,,proph_med_induct,,,,,,,,,,ketamine,0.5,,,,,,,,,,,,,,,,,,,,anesthetic induction of propofol plus esketamine (0.5 mg/kg),
13301,Nonrandomized Trial,Li 2020a,[Li 2020a](evidence_tables.html#13301),[Li 2020a](evidence_tables.html#13301),Li 2020a-1,1,None,Control,None,None,Dexmedetomidine,46,kq6_no_proph_meds,kq6_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conventional anesthesia (propofol, midazolam, sufentanil, cisatracurium besilate)"
13301,Nonrandomized Trial,Li 2020a,[Li 2020a](evidence_tables.html#13301),[Li 2020a](evidence_tables.html#13301),Li 2020a-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,41,kq6_proph_meds,,,,,proph_med_intra,,,dexmedetomidine,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,"conventional anesthesia (propofol, midazolam, sufentanil, cisatracurium besilate) plus dexmedetomidine (0.5 mcg/kg loading dose and 0.1 mcg/kg/h maintenance)",
13361,Nonrandomized Trial,Wang 2020c,[Wang 2020c](evidence_tables.html#13361),[Wang 2020c](evidence_tables.html#13361),Wang 2020c-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,50,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 ug/kg loading and 0.4 ug/kg/hr maintenance of 0.9% sodium chloride
13361,Nonrandomized Trial,Wang 2020c,[Wang 2020c](evidence_tables.html#13361),[Wang 2020c](evidence_tables.html#13361),Wang 2020c-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,60,kq6_proph_meds,,,proph_med_pre,,,,,dexmedetomidine,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,"dexmedetomidine iv drip of 0.5 ug/kg loading dose, 0.4 ug/kg/hr maintenance dose",
13367,Retrospective Cohort,Yin 2020,[Yin 2020](evidence_tables.html#13367),[Yin 2020](evidence_tables.html#13367),Yin 2020-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,58,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline administration, looks like both groups also received anesthesia induction of vecuronium bromide"
13367,Retrospective Cohort,Yin 2020,[Yin 2020](evidence_tables.html#13367),[Yin 2020](evidence_tables.html#13367),Yin 2020-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,62,kq6_proph_meds,,,proph_med_pre,,proph_med_intra,,,dexmedetomidine,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,"Dexmedetomidine injection, both groups had anesthetic induction of vecuronium bromide",
13368,Nonrandomized Trial,Zhang 2020b,[Zhang 2020b](evidence_tables.html#13368),[Zhang 2020b](evidence_tables.html#13368),Zhang 2020b-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,46,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saline administered intraoperatively
13368,Nonrandomized Trial,Zhang 2020b,[Zhang 2020b](evidence_tables.html#13368),[Zhang 2020b](evidence_tables.html#13368),Zhang 2020b-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,57,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5 mcg/kg/h dexmedetomidine administered right before induction through 15 min postsurgery,
13368,Nonrandomized Trial,Zhang 2020b,[Zhang 2020b](evidence_tables.html#13368),[Zhang 2020b](evidence_tables.html#13368),Zhang 2020b-3,3,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,62,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0 mcg/kg/h dexmedetomidine administered right before induction through 15 min postsurgery,
13393,Nonrandomized Trial,Bao 2020,[Bao 2020](evidence_tables.html#13393),[Bao 2020](evidence_tables.html#13393),Bao 2020-1,1,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine/Ulinastatin,Dex/Ulin,Dexmedetomidine,95,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.3,,,,,,,,,,,,,,,,,ulinastatin,2,,,,,,,"dexmedetomidine, 0.5 mcg/kg before induction, maintenance at 0.3 mcg/kg/h until 30 min before end of surgery, plus ulinastatin, 2 kU/kg bolus, maintenance 1 kU/kg/h until end of operation",
13393,Nonrandomized Trial,Bao 2020,[Bao 2020](evidence_tables.html#13393),[Bao 2020](evidence_tables.html#13393),Bao 2020-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,83,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,"dexmedetomidine alone, 0.5 mcg/kg before induction, maintenance at 0.3 mcg/kg/h until 30 min before end of surgery",
13406,Randomized Clinical Trial,Zhou 2019b,[Zhou 2019b](evidence_tables.html#13406),[Zhou 2019b](evidence_tables.html#13406),Zhou 2019b-1,1,Placebo,Control,Placebo,Plac,Ulinastatin,38,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saline infusion after induction and first day after surgery
13406,Randomized Clinical Trial,Zhou 2019b,[Zhou 2019b](evidence_tables.html#13406),[Zhou 2019b](evidence_tables.html#13406),Zhou 2019b-2,2,Ulinastatin,Ulinastatin,Ulinastatin,Ulin,Ulinastatin,39,kq6_proph_meds,,,,,,,,,,,,,,,,,,,,,,,,,,,ulinastatin,20000,2,"ulinastatin infusion (20,000 UI/kg) after induction and first day after surgery",,,,,ulinastatin infusion,
13406,Randomized Clinical Trial,Zhou 2019b,[Zhou 2019b](evidence_tables.html#13406),[Zhou 2019b](evidence_tables.html#13406),Zhou 2019b-3,3,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine/Ulinastatin,Dex/Ulin,Dexmedetomidine,39,kq6_proph_meds,,,,,proph_med_intra,,,dexmedetomidine,,0.4,,,,,,,,,,,,,,,,,ulinastatin,20000,2,,,,,,"ulinastatin infusion (20,000 UI/kg) and dexmedetomidine infusion (0.4 mcg/kg/h) after induction until 2 h before extubation",
13406,Randomized Clinical Trial,Zhou 2019b,[Zhou 2019b](evidence_tables.html#13406),[Zhou 2019b](evidence_tables.html#13406),Zhou 2019b-4,4,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,38,kq6_proph_meds,,,,,proph_med_intra,,,dexmedetomidine,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,dexmedetomidine (0.4 mcg/kg/h) infusion after induction until 2 h before extubation,
13483,Randomized Clinical Trial,Wang 2019,[Wang 2019](evidence_tables.html#13483),[Wang 2019](evidence_tables.html#13483),Wang 2019-1,1,Other,Control,Midazolam,Mid,Dexmedetomidine,100,kq6_no_proph_meds,kq6_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,midazolam,,Midazolam loading dose (0.05 mg/kg)
13483,Randomized Clinical Trial,Wang 2019,[Wang 2019](evidence_tables.html#13483),[Wang 2019](evidence_tables.html#13483),Wang 2019-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,98,kq6_proph_meds,,,proph_med_pre,,,,,dexmedetomidine,0.5,,,,,,,,,,,,,,,,,,,,,"no maintenance dose, only loading dose for Dexmedetomidine",,,,,Dexmedetomidine injection prior to anesthesia,
13512,Randomized Clinical Trial,Gupta 2019,[Gupta 2019](evidence_tables.html#13512),[Gupta 2019](evidence_tables.html#13512),Gupta 2019-1,1,Placebo,Control,Placebo,Plac,Ramelteon,50,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Placebo tablet one 12 hrs before surgery and one table 1 hour before surgery.
13512,Randomized Clinical Trial,Gupta 2019,[Gupta 2019](evidence_tables.html#13512),[Gupta 2019](evidence_tables.html#13512),Gupta 2019-2,2,Ramelteon,Ramelteon,Ramelteon,Ram,Ramelteon,50,kq6_proph_meds,,,proph_med_pre,,,,,,,,,,,,,,,,,,ramelteon,8,2,,,,,,,,,,,,one tablet 12 hrs before surgery and one table 1 hour before surgery.,
13546,Randomized Clinical Trial,Zhang 2018c,[Zhang 2018c](evidence_tables.html#13546),[Zhang 2018c](evidence_tables.html#13546),Zhang 2018c-1,1,Placebo,Control,Placebo,Plac,Ulinastatin,30,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ml normal saline (control group) was administered intravenously over a period of 30 min before surgical incision and 5000 units/kg was administered after surgery on the 1st and 2nd days.
13546,Randomized Clinical Trial,Zhang 2018c,[Zhang 2018c](evidence_tables.html#13546),[Zhang 2018c](evidence_tables.html#13546),Zhang 2018c-2,2,Ulinastatin,Ulinastatin,Ulinastatin,Ulin,Ulinastatin,30,kq6_proph_meds,,,,proph_med_induct,,proph_med_postop,,,,,,,,,,,,,,,,,,,,,ulinastatin,10000,,,,,,,"10,000 units/kg [diluted in normal saline to 100 ml (treatment group)] was administered intravenously over a period of 30 min
before surgical incision and 5000 units/kg was administered after surgery on the 1st and 2nd days.",
13568,Randomized Clinical Trial,He 2018,[He 2018](evidence_tables.html#13568),[He 2018](evidence_tables.html#13568),He 2018-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,30,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Placebo,Intravenous injection of saline (same amount as the DEX in group A),,,Intravenous injection of saline (same amount as the DEX in group A)
13568,Randomized Clinical Trial,He 2018,[He 2018](evidence_tables.html#13568),[He 2018](evidence_tables.html#13568),He 2018-2,2,Midazolam,Midazolam,Midazolam,Mid,Dexmedetomidine,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midazolam,,,,
13568,Randomized Clinical Trial,He 2018,[He 2018](evidence_tables.html#13568),[He 2018](evidence_tables.html#13568),He 2018-3,3,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,30,kq6_proph_meds,,,proph_med_pre,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,Dexmedetomidine,,,"pump injection of 0.5 mcg/kg dexmedetomidine for 10 minutes before anesthesia induction. Then the anesthesia induction began, while dexmedetomidine was maintained at 0.4 mcg/(kgxh) until the end of the operation.",
13579,Randomized Clinical Trial,Azeem 2018,[Azeem 2018](evidence_tables.html#13579),[Azeem 2018](evidence_tables.html#13579),Azeem 2018-1,1,Midazolam,Midazolam,Midazolam,Mid,Dexmedetomidine,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midazolam,,,,
13579,Randomized Clinical Trial,Azeem 2018,[Azeem 2018](evidence_tables.html#13579),[Azeem 2018](evidence_tables.html#13579),Azeem 2018-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,30,kq6_proph_meds,,,,,,proph_med_postop,,dexmedetomidine,,,0.4,0.7,,,,,,,,,,,,,,,,,,,,Dexmedetomidine,,,"dexmedetomidine was diluted in 5% dextrose. Per authors, loading dose is usually unnecessary and not recommended. Protocol shown in Figure 1 (dex infusion started at 0.4 to 0.7 mcg/kg/hr which was evaluated within 45-60 minutes, increase in dex infusion by 0.1 to 0.2 mcg/kg/hr every 30 min to a maximum of 1.4 mcg/kg/hr or bolus with either a selection between morphine 30 mcg/kg or fentanyl 20 mcg/kg or a selection between midazolam 15mcg/kg or propofol 20 mg.",
13669,Randomized Clinical Trial,Haghighi 2017,[Haghighi 2017](evidence_tables.html#13669),[Haghighi 2017](evidence_tables.html#13669),Haghighi 2017-1,1,,,,,Dexmedetomidine,50,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13669,Randomized Clinical Trial,Haghighi 2017,[Haghighi 2017](evidence_tables.html#13669),[Haghighi 2017](evidence_tables.html#13669),Haghighi 2017-2,2,,,,,Dexmedetomidine,50,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13719,Randomized Clinical Trial,Ozer 2017,[Ozer 2017](evidence_tables.html#13719),[Ozer 2017](evidence_tables.html#13719),Ozer 2017-1,1,,,,,Dexmedetomidine,40,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13719,Randomized Clinical Trial,Ozer 2017,[Ozer 2017](evidence_tables.html#13719),[Ozer 2017](evidence_tables.html#13719),Ozer 2017-2,2,,,,,Dexmedetomidine,40,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13731,Randomized Clinical Trial,Yu 2017,[Yu 2017](evidence_tables.html#13731),[Yu 2017](evidence_tables.html#13731),Yu 2017-1,1,Midazolam,Midazolam,Midazolam,Mid,Dexmedetomidine,46,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midazolam,,,,
13731,Randomized Clinical Trial,Yu 2017,[Yu 2017](evidence_tables.html#13731),[Yu 2017](evidence_tables.html#13731),Yu 2017-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,46,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.2,0.5,0.2,0.7,,,,,,,,,,,,,,,,,,,,Dexmedetomidine,,,dex given both preoperatively and to maintain anesthesia,
13777,Randomized Clinical Trial,Ge 2016,[Ge 2016](evidence_tables.html#13777),[Ge 2016](evidence_tables.html#13777),Ge 2016-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,24,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intravenously administered saline
13777,Randomized Clinical Trial,Ge 2016,[Ge 2016](evidence_tables.html#13777),[Ge 2016](evidence_tables.html#13777),Ge 2016-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,24,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,"intravenously administered 0.3 mcg/kg of dexmedetomidine 10 min prior to anesthesia, and then at a rate of 0.3 mcg/kg/h intraoperatively until 30 min prior to the completion of surgery.",
13824,Nonrandomized Trial,Bily 2015,[Bily 2015](evidence_tables.html#13824),[Bily 2015](evidence_tables.html#13824),Bily 2015-1,1,None,Control,None,None,Melatonin,250,kq6_no_proph_meds,kq6_none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13824,Nonrandomized Trial,Bily 2015,[Bily 2015](evidence_tables.html#13824),[Bily 2015](evidence_tables.html#13824),Bily 2015-2,2,Melatonin,Melatonin,Melatonin,Mel,Melatonin,250,kq6_proph_meds,,,proph_med_pre,,,proph_med_postop,,,,,,,,,,,,melatonin,5,4,,,,,,,,,,,,,,,,
13941,Randomized Clinical Trial,Mohamed 2014,[Mohamed 2014](evidence_tables.html#13941),[Mohamed 2014](evidence_tables.html#13941),Mohamed 2014-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,25,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9% normal saline at a rate of 0.4 ug/kg/h by a syringe pump maintained until the end of surgery
13941,Randomized Clinical Trial,Mohamed 2014,[Mohamed 2014](evidence_tables.html#13941),[Mohamed 2014](evidence_tables.html#13941),Mohamed 2014-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,25,kq6_proph_meds,,,proph_med_pre,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.17,0.4,,,,,,,,,,,,,,,,,,,,,,,,,"10 minutes before induction, a blinded study drug bolus infusion was stated at 1ug/kg/hr for 10 minutes intravenously. Demedetomidine infusion at a rate of 0.4 ug/kg/hr by a syringe pump maintained until the end of surgery.",
14006,Randomized Clinical Trial,Mardani 2013,[Mardani 2013](evidence_tables.html#14006),[Mardani 2013](evidence_tables.html#14006),Mardani 2013-1,1,,,,,Dexmedetomidine,50,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14006,Randomized Clinical Trial,Mardani 2013,[Mardani 2013](evidence_tables.html#14006),[Mardani 2013](evidence_tables.html#14006),Mardani 2013-2,2,,,,,Dexmedetomidine,43,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14441,Randomized Clinical Trial,Casati 2003,[Casati 2003](evidence_tables.html#14441),[Casati 2003](evidence_tables.html#14441),Casati 2003-1,1,,,,,Dexmedetomidine,15,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14441,Randomized Clinical Trial,Casati 2003,[Casati 2003](evidence_tables.html#14441),[Casati 2003](evidence_tables.html#14441),Casati 2003-2,2,,,,,Dexmedetomidine,15,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566,Randomized Clinical Trial,Chu 2006,[Chu 2006](evidence_tables.html#14566),[Chu 2006](evidence_tables.html#14566),Chu 2006-1,1,,,,,Dexmedetomidine,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14566,Randomized Clinical Trial,Chu 2006,[Chu 2006](evidence_tables.html#14566),[Chu 2006](evidence_tables.html#14566),Chu 2006-2,2,,,,,Dexmedetomidine,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14821,Retrospective Cohort,Shimizu 2010,[Shimizu 2010](evidence_tables.html#14821),[Shimizu 2010](evidence_tables.html#14821),Shimizu 2010-1,1,,,,,Dexmedetomidine,84,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14821,Retrospective Cohort,Shimizu 2010,[Shimizu 2010](evidence_tables.html#14821),[Shimizu 2010](evidence_tables.html#14821),Shimizu 2010-2,2,,,,,Dexmedetomidine,84,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15278,Randomized Clinical Trial,Apan 2016,[Apan 2016](evidence_tables.html#15278),[Apan 2016](evidence_tables.html#15278),Apan 2016-1,1,,,,,Dexmedetomidine,25,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15278,Randomized Clinical Trial,Apan 2016,[Apan 2016](evidence_tables.html#15278),[Apan 2016](evidence_tables.html#15278),Apan 2016-2,2,,,,,Dexmedetomidine,25,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15285,Randomized Clinical Trial,Bornemann-Cimenti 2016,[Bornemann-Cimenti 2016](evidence_tables.html#15285),[Bornemann-Cimenti 2016](evidence_tables.html#15285),Bornemann-Cimenti 2016-1,1,Placebo,Control,Placebo,Plac,Ketamine,19,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IV saline infusion after induction through 48 hours
15285,Randomized Clinical Trial,Bornemann-Cimenti 2016,[Bornemann-Cimenti 2016](evidence_tables.html#15285),[Bornemann-Cimenti 2016](evidence_tables.html#15285),Bornemann-Cimenti 2016-2,2,Ketamine,Ketamine,Ketamine,Ket,Ketamine,19,kq6_proph_meds,,,,,proph_med_intra,proph_med_postop,,,,,,,,ketamine,,0.015,,,,,,,,,,,,,,,,,,,IV saline bolus at induction followed by continuous infusion 0.015 mg/kg/h ketamine for 48 h postsurgery,
15285,Randomized Clinical Trial,Bornemann-Cimenti 2016,[Bornemann-Cimenti 2016](evidence_tables.html#15285),[Bornemann-Cimenti 2016](evidence_tables.html#15285),Bornemann-Cimenti 2016-3,3,Ketamine,Ketamine,Ketamine,Ket,Ketamine,18,kq6_proph_meds,,,,,proph_med_intra,proph_med_postop,,,,,,,,ketamine,0.25,0.125,,,,,,,,,,,,,,,,,,,IV 0.25 mg/kg bolus at induction followed by continuous infusion 0.125 mg/kg/h S-ketamine for 48 h postsurgery,
15331,Retrospective Cohort,Koo 2016,[Koo 2016](evidence_tables.html#15331),[Koo 2016](evidence_tables.html#15331),Koo 2016-1,1,,,,,Ketamine,390,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15331,Retrospective Cohort,Koo 2016,[Koo 2016](evidence_tables.html#15331),[Koo 2016](evidence_tables.html#15331),Koo 2016-2,2,,,,,Ketamine,390,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15440,Randomized Clinical Trial,Fazel 2017,[Fazel 2017](evidence_tables.html#15440),[Fazel 2017](evidence_tables.html#15440),Fazel 2017-1,1,,,,,Ketamine,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15440,Randomized Clinical Trial,Fazel 2017,[Fazel 2017](evidence_tables.html#15440),[Fazel 2017](evidence_tables.html#15440),Fazel 2017-2,2,,,,,Ketamine,30,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16008,Randomized Clinical Trial,Turan 2020,[Turan 2020](evidence_tables.html#16008),[Turan 2020](evidence_tables.html#16008),Turan 2020-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,396,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saline infusion started at incision 0.1 ug/kg/h, end of bypass increased to 0.2 ug/kg/h, increased again to 0.4 ug/kg/h postoperatively"
16008,Randomized Clinical Trial,Turan 2020,[Turan 2020](evidence_tables.html#16008),[Turan 2020](evidence_tables.html#16008),Turan 2020-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,398,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,proph_med_postop,,dexmedetomidine,,0.1,,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,"infusion started at incision 0.1 ug/kg/h, end of bypass increased to 0.2 ug/kg/h, increased again to 0.4 ug/kg/h postoperatively",
16023,Randomized Clinical Trial,Wu 2020,[Wu 2020](evidence_tables.html#16023),[Wu 2020](evidence_tables.html#16023),Wu 2020-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,40,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal saline given at induction and infused until end of surgery
16023,Randomized Clinical Trial,Wu 2020,[Wu 2020](evidence_tables.html#16023),[Wu 2020](evidence_tables.html#16023),Wu 2020-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,40,kq6_proph_meds,,,,proph_med_induct,proph_med_intra,,,dexmedetomidine,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,given at induction and infused until end of surgery,
16303,Randomized Clinical Trial,Yan 2021,[Yan 2021](evidence_tables.html#16303),[Yan 2021](evidence_tables.html#16303),Yan 2021-1,1,Placebo,Control,Placebo,Plac,Dexmedetomidine,50,kq6_no_proph_meds,kq6_placebo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infused with normal saline from 5 mins before induction to end of surgery
16303,Randomized Clinical Trial,Yan 2021,[Yan 2021](evidence_tables.html#16303),[Yan 2021](evidence_tables.html#16303),Yan 2021-2,2,Dexmedetomidine,Dexmedetomidine,Dexmedetomidine,Dex,Dexmedetomidine,50,kq6_proph_meds,,,,proph_med_induct,,,,dexmedetomidine,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,infusion from 5 min before induction to end of surgery,
16533,Randomized Clinical Trial,Dieleman 2012,[Dieleman 2012](evidence_tables.html#16533),[Dieleman 2012](evidence_tables.html#16533),Dieleman 2012-1,1,,,,,Dexmedetomidine,2247,kq5_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
